KØN;ALDER;OMRÅDE;TID;CIVILSTAND;INDHOLD
I alt;I alt;Hele landet;2008K1;Fraskilt;428864
I alt;I alt;Hele landet;2008K2;Fraskilt;431550
I alt;I alt;Hele landet;2008K3;Fraskilt;432713
I alt;I alt;Hele landet;2008K4;Fraskilt;432156
I alt;I alt;Hele landet;2009K1;Fraskilt;434233
I alt;I alt;Hele landet;2009K2;Fraskilt;437466
I alt;I alt;Hele landet;2009K3;Fraskilt;439378
I alt;I alt;Hele landet;2009K4;Fraskilt;439428
I alt;I alt;Hele landet;2010K1;Fraskilt;441913
I alt;I alt;Hele landet;2010K2;Fraskilt;444765
I alt;I alt;Hele landet;2010K3;Fraskilt;446333
I alt;I alt;Hele landet;2010K4;Fraskilt;447258
I alt;I alt;Hele landet;2011K1;Fraskilt;449609
I alt;I alt;Hele landet;2011K2;Fraskilt;453640
I alt;I alt;Hele landet;2011K3;Fraskilt;455105
I alt;I alt;Hele landet;2011K4;Fraskilt;455846
I alt;I alt;Hele landet;2012K1;Fraskilt;458430
I alt;I alt;Hele landet;2012K2;Fraskilt;462738
I alt;I alt;Hele landet;2012K3;Fraskilt;465210
I alt;I alt;Hele landet;2012K4;Fraskilt;466356
I alt;I alt;Hele landet;2013K1;Fraskilt;468891
I alt;I alt;Hele landet;2013K2;Fraskilt;473292
I alt;I alt;Hele landet;2013K3;Fraskilt;476507
I alt;I alt;Hele landet;2013K4;Fraskilt;477056
I alt;I alt;Hele landet;2014K1;Fraskilt;486336
I alt;I alt;Hele landet;2014K2;Fraskilt;492909
I alt;I alt;Hele landet;2014K3;Fraskilt;497069
I alt;I alt;Hele landet;2014K4;Fraskilt;500795
I alt;I alt;Hele landet;2015K1;Fraskilt;504505
I alt;I alt;Hele landet;2015K2;Fraskilt;506621
I alt;I alt;Hele landet;2015K3;Fraskilt;509922
I alt;I alt;Hele landet;2015K4;Fraskilt;513060
I alt;I alt;Hele landet;2016K1;Fraskilt;516864
I alt;I alt;Hele landet;2016K2;Fraskilt;520775
I alt;I alt;Hele landet;2016K3;Fraskilt;525180
I alt;I alt;Hele landet;2016K4;Fraskilt;526340
I alt;I alt;Hele landet;2017K1;Fraskilt;529457
I alt;I alt;Hele landet;2017K2;Fraskilt;533905
I alt;I alt;Hele landet;2017K3;Fraskilt;534656
I alt;I alt;Hele landet;2017K4;Fraskilt;535372
I alt;I alt;Hele landet;2018K1;Fraskilt;537834
I alt;I alt;Hele landet;2018K2;Fraskilt;541010
I alt;I alt;Hele landet;2018K3;Fraskilt;541999
I alt;I alt;Hele landet;2018K4;Fraskilt;542280
I alt;I alt;Hele landet;2019K1;Fraskilt;545085
I alt;I alt;Hele landet;2019K2;Fraskilt;545597
I alt;I alt;Hele landet;2019K3;Fraskilt;544731
I alt;I alt;Hele landet;2019K4;Fraskilt;543846
I alt;I alt;Hele landet;2020K1;Fraskilt;544588
I alt;I alt;Hele landet;2020K2;Fraskilt;548229
I alt;I alt;Hele landet;2020K3;Fraskilt;550715
I alt;I alt;Hele landet;2020K4;Fraskilt;552419
I alt;I alt;Hele landet;2021K1;Fraskilt;555102
I alt;I alt;Hele landet;2021K2;Fraskilt;558076
I alt;I alt;Hele landet;2021K3;Fraskilt;558017
I alt;I alt;Hele landet;2021K4;Fraskilt;558266
I alt;I alt;Hele landet;2022K1;Fraskilt;560611
