ALDER;TID;CIVILSTAND;OMRÅDE;INDHOLD
I alt;2020K4;Gift/separeret;Hele landet;2138124
I alt;2020K4;Ugift;Hele landet;2859116
0 år;2020K4;Gift/separeret;Hele landet;0
0 år;2020K4;Ugift;Hele landet;61381
1 år;2020K4;Gift/separeret;Hele landet;0
1 år;2020K4;Ugift;Hele landet;61650
2 år;2020K4;Gift/separeret;Hele landet;0
2 år;2020K4;Ugift;Hele landet;62532
3 år;2020K4;Gift/separeret;Hele landet;0
3 år;2020K4;Ugift;Hele landet;61928
4 år;2020K4;Gift/separeret;Hele landet;0
4 år;2020K4;Ugift;Hele landet;62597
5 år;2020K4;Gift/separeret;Hele landet;0
5 år;2020K4;Ugift;Hele landet;59132
6 år;2020K4;Gift/separeret;Hele landet;0
6 år;2020K4;Ugift;Hele landet;58528
7 år;2020K4;Gift/separeret;Hele landet;0
7 år;2020K4;Ugift;Hele landet;59354
8 år;2020K4;Gift/separeret;Hele landet;0
8 år;2020K4;Ugift;Hele landet;60586
9 år;2020K4;Gift/separeret;Hele landet;0
9 år;2020K4;Ugift;Hele landet;63442
10 år;2020K4;Gift/separeret;Hele landet;0
10 år;2020K4;Ugift;Hele landet;66642
11 år;2020K4;Gift/separeret;Hele landet;0
11 år;2020K4;Ugift;Hele landet;66984
12 år;2020K4;Gift/separeret;Hele landet;0
12 år;2020K4;Ugift;Hele landet;69063
13 år;2020K4;Gift/separeret;Hele landet;0
13 år;2020K4;Ugift;Hele landet;67463
14 år;2020K4;Gift/separeret;Hele landet;0
14 år;2020K4;Ugift;Hele landet;68501
15 år;2020K4;Gift/separeret;Hele landet;0
15 år;2020K4;Ugift;Hele landet;68110
16 år;2020K4;Gift/separeret;Hele landet;0
16 år;2020K4;Ugift;Hele landet;68059
17 år;2020K4;Gift/separeret;Hele landet;0
17 år;2020K4;Ugift;Hele landet;67736
18 år;2020K4;Gift/separeret;Hele landet;13
18 år;2020K4;Ugift;Hele landet;67886
19 år;2020K4;Gift/separeret;Hele landet;74
19 år;2020K4;Ugift;Hele landet;70314
20 år;2020K4;Gift/separeret;Hele landet;231
20 år;2020K4;Ugift;Hele landet;71873
21 år;2020K4;Gift/separeret;Hele landet;575
21 år;2020K4;Ugift;Hele landet;72919
22 år;2020K4;Gift/separeret;Hele landet;1104
22 år;2020K4;Ugift;Hele landet;73281
23 år;2020K4;Gift/separeret;Hele landet;1971
23 år;2020K4;Ugift;Hele landet;76513
24 år;2020K4;Gift/separeret;Hele landet;3323
24 år;2020K4;Ugift;Hele landet;74894
25 år;2020K4;Gift/separeret;Hele landet;5390
25 år;2020K4;Ugift;Hele landet;76716
26 år;2020K4;Gift/separeret;Hele landet;7782
26 år;2020K4;Ugift;Hele landet;72077
27 år;2020K4;Gift/separeret;Hele landet;11080
27 år;2020K4;Ugift;Hele landet;68725
28 år;2020K4;Gift/separeret;Hele landet;14725
28 år;2020K4;Ugift;Hele landet;64341
29 år;2020K4;Gift/separeret;Hele landet;18106
29 år;2020K4;Ugift;Hele landet;58801
30 år;2020K4;Gift/separeret;Hele landet;22054
30 år;2020K4;Ugift;Hele landet;53898
31 år;2020K4;Gift/separeret;Hele landet;24633
31 år;2020K4;Ugift;Hele landet;48657
32 år;2020K4;Gift/separeret;Hele landet;27145
32 år;2020K4;Ugift;Hele landet;42918
33 år;2020K4;Gift/separeret;Hele landet;28876
33 år;2020K4;Ugift;Hele landet;38418
34 år;2020K4;Gift/separeret;Hele landet;30431
34 år;2020K4;Ugift;Hele landet;35288
35 år;2020K4;Gift/separeret;Hele landet;31269
35 år;2020K4;Ugift;Hele landet;32035
36 år;2020K4;Gift/separeret;Hele landet;31867
36 år;2020K4;Ugift;Hele landet;28768
37 år;2020K4;Gift/separeret;Hele landet;32675
37 år;2020K4;Ugift;Hele landet;26542
38 år;2020K4;Gift/separeret;Hele landet;33934
38 år;2020K4;Ugift;Hele landet;25126
39 år;2020K4;Gift/separeret;Hele landet;35034
39 år;2020K4;Ugift;Hele landet;23939
40 år;2020K4;Gift/separeret;Hele landet;37745
40 år;2020K4;Ugift;Hele landet;23638
41 år;2020K4;Gift/separeret;Hele landet;38791
41 år;2020K4;Ugift;Hele landet;22435
42 år;2020K4;Gift/separeret;Hele landet;40136
42 år;2020K4;Ugift;Hele landet;21848
